#,Name,Total,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
479,RotomFan Rotom,520,Electric,Flying,50,65,107,105,107,86,4,False
479,RotomMow Rotom,520,Electric,Grass,50,65,107,105,107,86,4,False
480,Uxie,580,Psychic,,75,75,130,75,130,95,4,True
481,Mesprit,580,Psychic,,80,105,105,105,105,80,4,True
482,Azelf,580,Psychic,,75,125,70,125,70,115,4,True
483,Dialga,680,Steel,Dragon,100,120,120,150,100,90,4,True
484,Palkia,680,Water,Dragon,90,120,100,150,120,100,4,True
485,Heatran,600,Fire,Steel,91,90,106,130,106,77,4,True
486,Regigigas,670,Normal,,110,160,110,80,110,100,4,True
487,GiratinaAltered Forme,680,Ghost,Dragon,150,100,120,100,120,90,4,True
487,GiratinaOrigin Forme,680,Ghost,Dragon,150,120,100,120,100,90,4,True
488,Cresselia,600,Psychic,,120,70,120,75,130,85,4,False
489,Phione,480,Water,,80,80,80,80,80,80,4,False
490,Manaphy,600,Water,,100,100,100,100,100,100,4,False
491,Darkrai,600,Dark,,70,90,90,135,90,125,4,True
492,ShayminLand Forme,600,Grass,,100,100,100,100,100,100,4,True
492,ShayminSky Forme,600,Grass,Flying,100,103,75,120,75,127,4,True
493,Arceus,720,Normal,,120,120,120,120,120,120,4,True
494,Victini,600,Psychic,Fire,100,100,100,100,100,100,5,True
495,Snivy,308,Grass,,45,45,55,45,55,63,5,False
496,Servine,413,Grass,,60,60,75,60,75,83,5,False
497,Serperior,528,Grass,,75,75,95,75,95,113,5,False
498,Tepig,308,Fire,,65,63,45,45,45,45,5,False
499,Pignite,418,Fire,Fighting,90,93,55,70,55,55,5,False
500,Emboar,528,Fire,Fighting,110,123,65,100,65,65,5,False
501,Oshawott,308,Water,,55,55,45,63,45,45,5,False
502,Dewott,413,Water,,75,75,60,83,60,60,5,False
503,Samurott,528,Water,,95,100,85,108,70,70,5,False
504,Patrat,255,Normal,,45,55,39,35,39,42,5,False
505,Watchog,420,Normal,,60,85,69,60,69,77,5,False
506,Lillipup,275,Normal,,45,60,45,25,45,55,5,False
507,Herdier,370,Normal,,65,80,65,35,65,60,5,False
508,Stoutland,500,Normal,,85,110,90,45,90,80,5,False
509,Purrloin,281,Dark,,41,50,37,50,37,66,5,False
510,Liepard,446,Dark,,64,88,50,88,50,106,5,False
511,Pansage,316,Grass,,50,53,48,53,48,64,5,False
512,Simisage,498,Grass,,75,98,63,98,63,101,5,False
513,Pansear,316,Fire,,50,53,48,53,48,64,5,False
514,Simisear,498,Fire,,75,98,63,98,63,101,5,False
515,Panpour,316,Water,,50,53,48,53,48,64,5,False
516,Simipour,498,Water,,75,98,63,98,63,101,5,False
517,Munna,292,Psychic,,76,25,45,67,55,24,5,False
518,Musharna,487,Psychic,,116,55,85,107,95,29,5,False
519,Pidove,264,Normal,Flying,50,55,50,36,30,43,5,False
520,Tranquill,358,Normal,Flying,62,77,62,50,42,65,5,False
521,Unfezant,488,Normal,Flying,80,115,80,65,55,93,5,False
522,Blitzle,295,Electric,,45,60,32,50,32,76,5,False
523,Zebstrika,497,Electric,,75,100,63,80,63,116,5,False
524,Roggenrola,280,Rock,,55,75,85,25,25,15,5,False
525,Boldore,390,Rock,,70,105,105,50,40,20,5,False
526,Gigalith,515,Rock,,85,135,130,60,80,25,5,False
527,Woobat,313,Psychic,Flying,55,45,43,55,43,72,5,False
528,Swoobat,425,Psychic,Flying,67,57,55,77,55,114,5,False
529,Drilbur,328,Ground,,60,85,40,30,45,68,5,False
530,Excadrill,508,Ground,Steel,110,135,60,50,65,88,5,False
531,Audino,445,Normal,,103,60,86,60,86,50,5,False
531,AudinoMega Audino,545,Normal,Fairy,103,60,126,80,126,50,5,False
532,Timburr,305,Fighting,,75,80,55,25,35,35,5,False
533,Gurdurr,405,Fighting,,85,105,85,40,50,40,5,False
534,Conkeldurr,505,Fighting,,105,140,95,55,65,45,5,False
535,Tympole,294,Water,,50,50,40,50,40,64,5,False
536,Palpitoad,384,Water,Ground,75,65,55,65,55,69,5,False
537,Seismitoad,509,Water,Ground,105,95,75,85,75,74,5,False
538,Throh,465,Fighting,,120,100,85,30,85,45,5,False
539,Sawk,465,Fighting,,75,125,75,30,75,85,5,False
540,Sewaddle,310,Bug,Grass,45,53,70,40,60,42,5,False
541,Swadloon,380,Bug,Grass,55,63,90,50,80,42,5,False
542,Leavanny,500,Bug,Grass,75,103,80,70,80,92,5,False
543,Venipede,260,Bug,Poison,30,45,59,30,39,57,5,False
544,Whirlipede,360,Bug,Poison,40,55,99,40,79,47,5,False
545,Scolipede,485,Bug,Poison,60,100,89,55,69,112,5,False
546,Cottonee,280,Grass,Fairy,40,27,60,37,50,66,5,False
547,Whimsicott,480,Grass,Fairy,60,67,85,77,75,116,5,False
548,Petilil,280,Grass,,45,35,50,70,50,30,5,False
549,Lilligant,480,Grass,,70,60,75,110,75,90,5,False
550,Basculin,460,Water,,70,92,65,80,55,98,5,False
551,Sandile,292,Ground,Dark,50,72,35,35,35,65,5,False
552,Krokorok,351,Ground,Dark,60,82,45,45,45,74,5,False
553,Krookodile,519,Ground,Dark,95,117,80,65,70,92,5,False
554,Darumaka,315,Fire,,70,90,45,15,45,50,5,False
555,DarmanitanStandard Mode,480,Fire,,105,140,55,30,55,95,5,False
555,DarmanitanZen Mode,540,Fire,Psychic,105,30,105,140,105,55,5,False
556,Maractus,461,Grass,,75,86,67,106,67,60,5,False
557,Dwebble,325,Bug,Rock,50,65,85,35,35,55,5,False
558,Crustle,475,Bug,Rock,70,95,125,65,75,45,5,False
559,Scraggy,348,Dark,Fighting,50,75,70,35,70,48,5,False
560,Scrafty,488,Dark,Fighting,65,90,115,45,115,58,5,False
561,Sigilyph,490,Psychic,Flying,72,58,80,103,80,97,5,False
562,Yamask,303,Ghost,,38,30,85,55,65,30,5,False
563,Cofagrigus,483,Ghost,,58,50,145,95,105,30,5,False
564,Tirtouga,355,Water,Rock,54,78,103,53,45,22,5,False
565,Carracosta,495,Water,Rock,74,108,133,83,65,32,5,False
566,Archen,401,Rock,Flying,55,112,45,74,45,70,5,False
567,Archeops,567,Rock,Flying,75,140,65,112,65,110,5,False
568,Trubbish,329,Poison,,50,50,62,40,62,65,5,False
569,Garbodor,474,Poison,,80,95,82,60,82,75,5,False
570,Zorua,330,Dark,,40,65,40,80,40,65,5,False
571,Zoroark,510,Dark,,60,105,60,120,60,105,5,False
572,Minccino,300,Normal,,55,50,40,40,40,75,5,False
573,Cinccino,470,Normal,,75,95,60,65,60,115,5,False
574,Gothita,290,Psychic,,45,30,50,55,65,45,5,False
575,Gothorita,390,Psychic,,60,45,70,75,85,55,5,False
576,Gothitelle,490,Psychic,,70,55,95,95,110,65,5,False
577,Solosis,290,Psychic,,45,30,40,105,50,20,5,False
578,Duosion,370,Psychic,,65,40,50,125,60,30,5,False
579,Reuniclus,490,Psychic,,110,65,75,125,85,30,5,False
580,Ducklett,305,Water,Flying,62,44,50,44,50,55,5,False
581,Swanna,473,Water,Flying,75,87,63,87,63,98,5,False
582,Vanillite,305,Ice,,36,50,50,65,60,44,5,False
583,Vanillish,395,Ice,,51,65,65,80,75,59,5,False
584,Vanilluxe,535,Ice,,71,95,85,110,95,79,5,False
585,Deerling,335,Normal,Grass,60,60,50,40,50,75,5,False
586,Sawsbuck,475,Normal,Grass,80,100,70,60,70,95,5,False
587,Emolga,428,Electric,Flying,55,75,60,75,60,103,5,False
588,Karrablast,315,Bug,,50,75,45,40,45,60,5,False
589,Escavalier,495,Bug,Steel,70,135,105,60,105,20,5,False
590,Foongus,294,Grass,Poison,69,55,45,55,55,15,5,False
591,Amoonguss,464,Grass,Poison,114,85,70,85,80,30,5,False
592,Frillish,335,Water,Ghost,55,40,50,65,85,40,5,False
593,Jellicent,480,Water,Ghost,100,60,70,85,105,60,5,False
594,Alomomola,470,Water,,165,75,80,40,45,65,5,False
595,Joltik,319,Bug,Electric,50,47,50,57,50,65,5,False
596,Galvantula,472,Bug,Electric,70,77,60,97,60,108,5,False
597,Ferroseed,305,Grass,Steel,44,50,91,24,86,10,5,False
598,Ferrothorn,489,Grass,Steel,74,94,131,54,116,20,5,False
599,Klink,300,Steel,,40,55,70,45,60,30,5,False
600,Klang,440,Steel,,60,80,95,70,85,50,5,False
601,Klinklang,520,Steel,,60,100,115,70,85,90,5,False
602,Tynamo,275,Electric,,35,55,40,45,40,60,5,False
603,Eelektrik,405,Electric,,65,85,70,75,70,40,5,False
604,Eelektross,515,Electric,,85,115,80,105,80,50,5,False
605,Elgyem,335,Psychic,,55,55,55,85,55,30,5,False
606,Beheeyem,485,Psychic,,75,75,75,125,95,40,5,False
607,Litwick,275,Ghost,Fire,50,30,55,65,55,20,5,False
608,Lampent,370,Ghost,Fire,60,40,60,95,60,55,5,False
609,Chandelure,520,Ghost,Fire,60,55,90,145,90,80,5,False
610,Axew,320,Dragon,,46,87,60,30,40,57,5,False
611,Fraxure,410,Dragon,,66,117,70,40,50,67,5,False
612,Haxorus,540,Dragon,,76,147,90,60,70,97,5,False
613,Cubchoo,305,Ice,,55,70,40,60,40,40,5,False
614,Beartic,485,Ice,,95,110,80,70,80,50,5,False
615,Cryogonal,485,Ice,,70,50,30,95,135,105,5,False
616,Shelmet,305,Bug,,50,40,85,40,65,25,5,False
617,Accelgor,495,Bug,,80,70,40,100,60,145,5,False
618,Stunfisk,471,Ground,Electric,109,66,84,81,99,32,5,False
619,Mienfoo,350,Fighting,,45,85,50,55,50,65,5,False
620,Mienshao,510,Fighting,,65,125,60,95,60,105,5,False
621,Druddigon,485,Dragon,,77,120,90,60,90,48,5,False
622,Golett,303,Ground,Ghost,59,74,50,35,50,35,5,False
623,Golurk,483,Ground,Ghost,89,124,80,55,80,55,5,False
624,Pawniard,340,Dark,Steel,45,85,70,40,40,60,5,False
625,Bisharp,490,Dark,Steel,65,125,100,60,70,70,5,False
626,Bouffalant,490,Normal,,95,110,95,40,95,55,5,False
627,Rufflet,350,Normal,Flying,70,83,50,37,50,60,5,False
628,Braviary,510,Normal,Flying,100,123,75,57,75,80,5,False
629,Vullaby,370,Dark,Flying,70,55,75,45,65,60,5,False
630,Mandibuzz,510,Dark,Flying,110,65,105,55,95,80,5,False
631,Heatmor,484,Fire,,85,97,66,105,66,65,5,False
632,Durant,484,Bug,Steel,58,109,112,48,48,109,5,False
633,Deino,300,Dark,Dragon,52,65,50,45,50,38,5,False
634,Zweilous,420,Dark,Dragon,72,85,70,65,70,58,5,False
635,Hydreigon,600,Dark,Dragon,92,105,90,125,90,98,5,False
636,Larvesta,360,Bug,Fire,55,85,55,50,55,60,5,False
637,Volcarona,550,Bug,Fire,85,60,65,135,105,100,5,False
638,Cobalion,580,Steel,Fighting,91,90,129,90,72,108,5,True
639,Terrakion,580,Rock,Fighting,91,129,90,72,90,108,5,True
640,Virizion,580,Grass,Fighting,91,90,72,90,129,108,5,True
641,TornadusIncarnate Forme,580,Flying,,79,115,70,125,80,111,5,True
641,TornadusTherian Forme,580,Flying,,79,100,80,110,90,121,5,True
642,ThundurusIncarnate Forme,580,Electric,Flying,79,115,70,125,80,111,5,True
642,ThundurusTherian Forme,580,Electric,Flying,79,105,70,145,80,101,5,True
643,Reshiram,680,Dragon,Fire,100,120,100,150,120,90,5,True
644,Zekrom,680,Dragon,Electric,100,150,120,120,100,90,5,True
645,LandorusIncarnate Forme,600,Ground,Flying,89,125,90,115,80,101,5,True
645,LandorusTherian Forme,600,Ground,Flying,89,145,90,105,80,91,5,True
646,Kyurem,660,Dragon,Ice,125,130,90,130,90,95,5,True
646,KyuremBlack Kyurem,700,Dragon,Ice,125,170,100,120,90,95,5,True
646,KyuremWhite Kyurem,700,Dragon,Ice,125,120,90,170,100,95,5,True
647,KeldeoOrdinary Forme,580,Water,Fighting,91,72,90,129,90,108,5,False
647,KeldeoResolute Forme,580,Water,Fighting,91,72,90,129,90,108,5,False
648,MeloettaAria Forme,600,Normal,Psychic,100,77,77,128,128,90,5,False
648,MeloettaPirouette Forme,600,Normal,Fighting,100,128,90,77,77,128,5,False
649,Genesect,600,Bug,Steel,71,120,95,120,95,99,5,False
650,Chespin,313,Grass,,56,61,65,48,45,38,6,False
651,Quilladin,405,Grass,,61,78,95,56,58,57,6,False
652,Chesnaught,530,Grass,Fighting,88,107,122,74,75,64,6,False
653,Fennekin,307,Fire,,40,45,40,62,60,60,6,False
654,Braixen,409,Fire,,59,59,58,90,70,73,6,False
655,Delphox,534,Fire,Psychic,75,69,72,114,100,104,6,False
656,Froakie,314,Water,,41,56,40,62,44,71,6,False
657,Frogadier,405,Water,,54,63,52,83,56,97,6,False
658,Greninja,530,Water,Dark,72,95,67,103,71,122,6,False
659,Bunnelby,237,Normal,,38,36,38,32,36,57,6,False
660,Diggersby,423,Normal,Ground,85,56,77,50,77,78,6,False
661,Fletchling,278,Normal,Flying,45,50,43,40,38,62,6,False
662,Fletchinder,382,Fire,Flying,62,73,55,56,52,84,6,False
663,Talonflame,499,Fire,Flying,78,81,71,74,69,126,6,False
664,Scatterbug,200,Bug,,38,35,40,27,25,35,6,False
665,Spewpa,213,Bug,,45,22,60,27,30,29,6,False
666,Vivillon,411,Bug,Flying,80,52,50,90,50,89,6,False
667,Litleo,369,Fire,Normal,62,50,58,73,54,72,6,False
668,Pyroar,507,Fire,Normal,86,68,72,109,66,106,6,False
669,Flabébé,303,Fairy,,44,38,39,61,79,42,6,False
670,Floette,371,Fairy,,54,45,47,75,98,52,6,False
671,Florges,552,Fairy,,78,65,68,112,154,75,6,False
672,Skiddo,350,Grass,,66,65,48,62,57,52,6,False
673,Gogoat,531,Grass,,123,100,62,97,81,68,6,False
674,Pancham,348,Fighting,,67,82,62,46,48,43,6,False
675,Pangoro,495,Fighting,Dark,95,124,78,69,71,58,6,False
676,Furfrou,472,Normal,,75,80,60,65,90,102,6,False
677,Espurr,355,Psychic,,62,48,54,63,60,68,6,False
678,MeowsticMale,466,Psychic,,74,48,76,83,81,104,6,False
678,MeowsticFemale,466,Psychic,,74,48,76,83,81,104,6,False
679,Honedge,325,Steel,Ghost,45,80,100,35,37,28,6,False
680,Doublade,448,Steel,Ghost,59,110,150,45,49,35,6,False
681,AegislashBlade Forme,520,Steel,Ghost,60,150,50,150,50,60,6,False
681,AegislashShield Forme,520,Steel,Ghost,60,50,150,50,150,60,6,False
682,Spritzee,341,Fairy,,78,52,60,63,65,23,6,False
683,Aromatisse,462,Fairy,,101,72,72,99,89,29,6,False
684,Swirlix,341,Fairy,,62,48,66,59,57,49,6,False
685,Slurpuff,480,Fairy,,82,80,86,85,75,72,6,False
686,Inkay,288,Dark,Psychic,53,54,53,37,46,45,6,False
687,Malamar,482,Dark,Psychic,86,92,88,68,75,73,6,False
688,Binacle,306,Rock,Water,42,52,67,39,56,50,6,False
689,Barbaracle,500,Rock,Water,72,105,115,54,86,68,6,False
690,Skrelp,320,Poison,Water,50,60,60,60,60,30,6,False
691,Dragalge,494,Poison,Dragon,65,75,90,97,123,44,6,False
692,Clauncher,330,Water,,50,53,62,58,63,44,6,False
693,Clawitzer,500,Water,,71,73,88,120,89,59,6,False
694,Helioptile,289,Electric,Normal,44,38,33,61,43,70,6,False
695,Heliolisk,481,Electric,Normal,62,55,52,109,94,109,6,False
696,Tyrunt,362,Rock,Dragon,58,89,77,45,45,48,6,False
697,Tyrantrum,521,Rock,Dragon,82,121,119,69,59,71,6,False
698,Amaura,362,Rock,Ice,77,59,50,67,63,46,6,False
699,Aurorus,521,Rock,Ice,123,77,72,99,92,58,6,False
700,Sylveon,525,Fairy,,95,65,65,110,130,60,6,False
701,Hawlucha,500,Fighting,Flying,78,92,75,74,63,118,6,False
702,Dedenne,431,Electric,Fairy,67,58,57,81,67,101,6,False
703,Carbink,500,Rock,Fairy,50,50,150,50,150,50,6,False
704,Goomy,300,Dragon,,45,50,35,55,75,40,6,False
705,Sliggoo,452,Dragon,,68,75,53,83,113,60,6,False
706,Goodra,600,Dragon,,90,100,70,110,150,80,6,False
707,Klefki,470,Steel,Fairy,57,80,91,80,87,75,6,False
708,Phantump,309,Ghost,Grass,43,70,48,50,60,38,6,False
709,Trevenant,474,Ghost,Grass,85,110,76,65,82,56,6,False
710,PumpkabooAverage Size,335,Ghost,Grass,49,66,70,44,55,51,6,False
710,PumpkabooSmall Size,335,Ghost,Grass,44,66,70,44,55,56,6,False
710,PumpkabooLarge Size,335,Ghost,Grass,54,66,70,44,55,46,6,False
710,PumpkabooSuper Size,335,Ghost,Grass,59,66,70,44,55,41,6,False
711,GourgeistAverage Size,494,Ghost,Grass,65,90,122,58,75,84,6,False
711,GourgeistSmall Size,494,Ghost,Grass,55,85,122,58,75,99,6,False
711,GourgeistLarge Size,494,Ghost,Grass,75,95,122,58,75,69,6,False
711,GourgeistSuper Size,494,Ghost,Grass,85,100,122,58,75,54,6,False
712,Bergmite,304,Ice,,55,69,85,32,35,28,6,False
713,Avalugg,514,Ice,,95,117,184,44,46,28,6,False
714,Noibat,245,Flying,Dragon,40,30,35,45,40,55,6,False
715,Noivern,535,Flying,Dragon,85,70,80,97,80,123,6,False
716,Xerneas,680,Fairy,,126,131,95,131,98,99,6,True
717,Yveltal,680,Dark,Flying,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,600,Dragon,Ground,108,100,121,81,95,95,6,True
719,Diancie,600,Rock,Fairy,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,700,Rock,Fairy,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,600,Psychic,Ghost,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,680,Psychic,Dark,80,160,60,170,130,80,6,True
721,Volcanion,600,Fire,Water,80,110,120,130,90,70,6,True
